b 冂 2
b 冖 2
c 八 2
c 𠆢 2
c 丷 2
e 又 2
e 氵 3
f 小 3
g 士 3
h ⼃ 1
i 广 3
j 宀 3
k 疒 5
l 衤 5
m 工 3
m 厂 2
m 丆 2
n 乙 1
o 入 2
o 亻 2
p 忄 3
p 𠤎 2
p 七 2
q 扌 3
q 㐄 3
s 匚 2
s 匸 2
t 廾 3
t 艹 4
t 䒑 3
u 凵 2
u 乚 1
w 囗 3
y 亠 2
y 辶 4
e 水 3
l 衣 5
p 心 3
q 手 3
t 艸 4
y 辵 4
if 示 4
nl 阜 3
oi 食 8
rm 足 7
###############################################################################
hapi 的 8
amyo 是 9
mf 不 4
hqi 我 7
m 一 1
kb 有 6
k 大 3
klg 在 6
o 人 2
nn 了 2
l 中 4
mgln 到 8
mobuc 資 14
mwv 要 9
mnr 可 5
vio 以 5
yymr 這 11
owjr 個 10
onf 你 7
omwa 會 13
vnd 好 6
iknf 為 9
ym 上 3
doo 來 8
yfiku 就 12
hbnd 學 16
yck 交 6
pd 也 3
bq 用 5
ibpp 能 10
vr 如 6
yk 文 4
agdi 時 10
epe 沒 7
yrcru 說 14
opd 他 5
hqbu 看 9
qamo 提 12
sqnl 那 7
anr 問 11
hqm 生 5
ybbr 過 13
my 下 3
yrqmb 請 15
mk 天 4
oan 們 10
hshml 所 8
nini 多 6
idvi 麼 14
nc 小 3
dup 想 13
hoami 得 11
ino 之 4
ywlv 還 17
mbwu 電 13
uu 出 5
mlm 工 3
tgdi 對 14
janl 都 11
dvio 機 16
hbu 自 6
hovie 後 9
nd 子 3
mbll 而 6
yrnj 訊 10
ytyr 站 10
gi 去 5
p 心 4
rc 只 5
jmso 家 10
okr 知 8
wirm 國 11
ir 台 5
hoav 很 9
oymr 信 9
ihs 成 6
ytaj 章 11
omnr 何 7
bmr 同 6
ythu 道 13
gpd 地 6
nonhe 發 12
egi 法 8
otf 無 12
bkf 然 12
oam 但 7
rsqf 嗎 13
fbrw 當 13
ysoy 於 8
dm 本 5
mgbuu 現 11
oq 年 6
tbln 前 9
jbmc 真 10
asje 最 12
hdr 和 8
ydhml 新 13
wk 因 6
wd 果 8
jmyo 定 8
ytap 意 13
pqmb 情 11
wfyr 點 17
aombc 題 18
tmmc 其 8
jlln 事 8
yhs 方 4
eqmb 清 11
hdyj 科 9
dtge 樣 15
ypmm 些 8
rau 吧 7
mmm 三 3
ymp 此 6
oyt 位 7
mgwg 理 11
hommn 行 6
ohs 作 7
vfmvm 經 13
jka 者 8
oj 什 4
yrhhi 謝 17
nir 名 6
a 日 4
mylm 正 5
tmtq 華 12
yrhjr 話 13
anmt 開 12
jwjc 實 14
mgb 再 6
gihs 城 9
bbpe 愛 13
hxyc 與 14
mm 二 2
hgks 動 11
pp 比 4
yrbr 高 10
mwyl 面 9
nk 又 2
jwj 車 7
ks 力 2
irm 或 8
hdhjg 種 14
onao 像 14
igp 應 17
v 女 3
jdok 教 11
csh 分 4
q 手 4
qmn 打 5
su 已 3
mmno 次 6
smv 長 8
ki 太 4
ab 明 8
su 己 3
rmher 路 13
goru 起 10
dbu 相 9
yg 主 5
anvit 關 19
hnmaf 鳳 14
ana 間 12
rsp 呢 8
hbbuu 覺 20
yryvo 該 13
j 十 2
niy 外 5
hnhag 凰 11
ke 友 4
dh 才 3
rvp 民 5
hvif 系 7
yog 進 12
ojlk 使 8
vpd 她 6
tjka 著 12
her 各 6
fh 少 4
omg 全 6
mlbo 兩 8
wr 回 6
ksr 加 5
vmbdi 將 11
irp 感 13
hnlh 第 11
phqm 性 8
mgije 球 11
ipm 式 6
qau 把 7
ldhe 被 11
jkp 老 6
ci 公 4
ybysp 龍 16
hdrhg 程 12
yromb 論 15
nhe 及 4
rsln 別 7
vfomr 給 12
sgjwp 聽 22
e 水 4
