ㄅㄚ bā ⠕⠜⠄ 18 ba1 o>'
ㄅㄛ bō ⠕⠣⠄ 1i bo1 o<'
ㄅㄞ bāi ⠕⠺⠄ 19 bai1 ow'
ㄅㄟ bēi ⠕⠴⠄ 1o bei1 o0'
ㄅㄠ bāo ⠕⠩⠄ 1l bao1 o%'
ㄅㄢ bān ⠕⠧⠄ 10 ban1 ov'
ㄅㄣ bēn ⠕⠥⠄ 1p ben1 ou'
ㄅㄤ bāng ⠕⠭⠄ 1; bang1 ox'
ㄅㄥ bēng ⠕⠵⠄ 1/ beng1 oz'
ㄅㄧ bī ⠕⠡⠄ 1u bi1 o*'
ㄅㄧㄝ biē ⠕⠬⠄ 1u, bie1 o+'
ㄅㄧㄠ biāo ⠕⠪⠄ 1ul biao1 o['
ㄅㄧㄢ biān ⠕⠞⠄ 1u0 bian1 ot'
ㄅㄧㄣ bīn ⠕⠹⠄ 1up bin1 o?'
ㄅㄧㄥ bīng ⠕⠽⠄ 1u/ bing1 oy'
ㄅㄨ bū ⠕⠌⠄ 1j bu1 o/'
ㄆㄚ pā ⠏⠜⠄ q8 pa1 p>'
ㄆㄛ pō ⠏⠣⠄ qi po1 p<'
ㄆㄞ pāi ⠏⠺⠄ q9 pai1 pw'
ㄆㄟ pēi ⠏⠴⠄ qo pei1 p0'
ㄆㄠ pāo ⠏⠩⠄ ql pao1 p%'
ㄆㄡ pōu ⠏⠷⠄ q. pou1 p('
ㄆㄢ pān ⠏⠧⠄ q0 pan1 pv'
ㄆㄣ pēn ⠏⠥⠄ qp pen1 pu'
ㄆㄤ pāng ⠏⠭⠄ q; pang1 px'
ㄆㄥ pēng ⠏⠵⠄ q/ peng1 pz'
ㄆㄧ pī ⠏⠡⠄ qu pi1 p*'
ㄆㄧㄚ piā ⠏⠾⠄ qu8 pia1 p)'
ㄆㄧㄝ piē ⠏⠬⠄ qu, pie1 p+'
ㄆㄧㄠ piāo ⠏⠪⠄ qul piao1 p['
ㄆㄧㄢ piān ⠏⠞⠄ qu0 pian1 pt'
ㄆㄧㄣ pīn ⠏⠹⠄ qup pin1 p?'
ㄆㄧㄥ pīng ⠏⠽⠄ qu/ ping1 py'
ㄆㄨ pū ⠏⠌⠄ qj pu1 p/'
ㄇㄚ mā ⠍⠜⠄ a8 ma1 m>'
ㄇㄛ mō ⠍⠣⠄ ai mo1 m<'
ㄇㄜ mē ⠍⠮⠄ ak me1 m!'
ㄇㄞ māi ⠍⠺⠄ a9 mai1 mw'
ㄇㄟ mēi ⠍⠴⠄ ao mei1 m0'
ㄇㄠ māo ⠍⠩⠄ al mao1 m%'
ㄇㄡ mōu ⠍⠷⠄ a. mou1 m('
ㄇㄢ mān ⠍⠧⠄ a0 man1 mv'
ㄇㄣ mēn ⠍⠥⠄ ap men1 mu'
ㄇㄤ māng ⠍⠭⠄ a; mang1 mx'
ㄇㄥ mēng ⠍⠵⠄ a/ meng1 mz'
ㄇㄧ mī ⠍⠡⠄ au mi1 m*'
ㄇㄧㄝ miē ⠍⠬⠄ au, mie1 m+'
ㄇㄧㄠ miāo ⠍⠪⠄ aul miao1 m['
ㄇㄧㄡ miū ⠍⠎⠄ au. miu1 ms'
ㄇㄧㄢ miān ⠍⠞⠄ au0 mian1 mt'
ㄇㄧㄣ mīn ⠍⠹⠄ aup min1 m?'
ㄇㄧㄥ mīng ⠍⠽⠄ au/ ming1 my'
ㄇㄨ mū ⠍⠌⠄ aj mu1 m/'
ㄈㄚ fā ⠟⠜⠄ z8 fa1 q>'
ㄈㄛ fō ⠟⠣⠄ zi fo1 q<'
ㄈㄟ fēi ⠟⠴⠄ zo fei1 q0'
ㄈㄡ fōu ⠟⠷⠄ z. fou1 q('
ㄈㄢ fān ⠟⠧⠄ z0 fan1 qv'
ㄈㄣ fēn ⠟⠥⠄ zp fen1 qu'
ㄈㄤ fāng ⠟⠭⠄ z; fang1 qx'
ㄈㄥ fēng ⠟⠵⠄ z/ feng1 qz'
ㄈㄧㄠ fiāo ⠟⠪⠄ zul fiao1 q['
ㄈㄨ fū ⠟⠌⠄ zj fu1 q/'
ㄉㄚ dā ⠙⠜⠄ 28 da1 d>'
ㄉㄜ dē ⠙⠮⠄ 2k de1 d!'
ㄉㄞ dāi ⠙⠺⠄ 29 dai1 dw'
ㄉㄟ dēi ⠙⠴⠄ 2o dei1 d0'
ㄉㄠ dāo ⠙⠩⠄ 2l dao1 d%'
ㄉㄡ dōu ⠙⠷⠄ 2 dou1 d('
ㄉㄢ dān ⠙⠧⠄ 20 dan1 dv'
ㄉㄣ dēn ⠙⠥⠄ 2p den1 du'
ㄉㄤ dāng ⠙⠭⠄ 2; dang1 dx'
ㄉㄥ dēng ⠙⠵⠄ 2/ deng1 dz'
ㄉㄧ dī ⠙⠡⠄ 2u di1 d*'
ㄉㄧㄝ diē ⠙⠬⠄ 2u, die1 d+'
ㄉㄧㄠ diāo ⠙⠪⠄ 2ul diao1 d['
ㄉㄧㄡ diū ⠙⠎⠄ 2u. diu1 ds'
ㄉㄧㄢ diān ⠙⠞⠄ 2u0 dian1 dt'
ㄉㄧㄤ diāng ⠙⠨⠄ 2u; diang1 d.'
ㄉㄧㄥ dīng ⠙⠽⠄ 2u/ ding1 dy'
ㄉㄨ dū ⠙⠌⠄ 2j du1 d/'
ㄉㄨㄛ duō ⠙⠒⠄ 2ji duo1 d3'
ㄉㄨㄟ duī ⠙⠫⠄ 2jo dui1 d$'
ㄉㄨㄢ duān ⠙⠻⠄ 2j0 duan1 d]'
ㄉㄨㄣ dūn ⠙⠿⠄ 2jp dun1 d='
ㄉㄨㄥ dōng ⠙⠯⠄ 2j/ dong1 d&'
ㄊㄚ tā ⠋⠜⠄ w8 ta1 f>'
ㄊㄜ tē ⠋⠮⠄ wk te1 f!'
ㄊㄞ tāi ⠋⠺⠄ w9 tai1 fw'
ㄊㄠ tāo ⠋⠩⠄ wl tao1 f%'
ㄊㄡ tōu ⠋⠷⠄ w. tou1 f('
ㄊㄢ tān ⠋⠧⠄ w0 tan1 fv'
ㄊㄤ tāng ⠋⠭⠄ w; tang1 fx'
ㄊㄥ tēng ⠋⠵⠄ w/ teng1 fz'
ㄊㄧ tī ⠋⠡⠄ wu ti1 f*'
ㄊㄧㄝ tiē ⠋⠬⠄ wu, tie1 f+'
ㄊㄧㄠ tiāo ⠋⠪⠄ wul tiao1 f['
ㄊㄧㄢ tiān ⠋⠞⠄ wu0 tian1 ft'
ㄊㄧㄥ tīng ⠋⠽⠄ wu/ ting1 fy'
ㄊㄨ tū ⠋⠌⠄ wj tu1 f/'
ㄊㄨㄛ tuō ⠋⠒⠄ wji tuo1 f3'
ㄊㄨㄟ tuī ⠋⠫⠄ wjo tui1 f$'
ㄊㄨㄢ tuān ⠋⠻⠄ wj0 tuan1 f]'
ㄊㄨㄣ tūn ⠋⠿⠄ wjp tun1 f='
ㄊㄨㄥ tōng ⠋⠯⠄ wj/ tong1 f&'
ㄋㄚ nā ⠝⠜⠄ s8 na1 n>'
ㄋㄜ nē ⠝⠮⠄ sk ne1 n!'
ㄋㄞ nāi ⠝⠺⠄ s9 nai1 nw'
ㄋㄟ nēi ⠝⠴⠄ so nei1 n0'
ㄋㄠ nāo ⠝⠩⠄ sl nao1 n%'
ㄋㄡ nōu ⠝⠷⠄ s. nou1 n('
ㄋㄢ nān ⠝⠧⠄ s0 nan1 nv'
ㄋㄣ nēn ⠝⠥⠄ sp nen1 nu'
ㄋㄤ nāng ⠝⠭⠄ s; nang1 nx'
ㄋㄥ nēng ⠝⠵⠄ s/ neng1 nz'
ㄋㄧ nī ⠝⠡⠄ su ni1 n*'
ㄋㄧㄚ niā ⠝⠾⠄ su8 nia1 n)'
ㄋㄧㄝ niē ⠝⠬⠄ su, nie1 n+'
ㄋㄧㄠ niāo ⠝⠪⠄ sul niao1 n['
ㄋㄧㄡ niū ⠝⠎⠄ su. niu1 ns'
ㄋㄧㄢ niān ⠝⠞⠄ su0 nian1 nt'
ㄋㄧㄣ nīn ⠝⠹⠄ sup nin1 n?'
ㄋㄧㄤ niāng ⠝⠨⠄ su; niang1 n.'
ㄋㄧㄥ nīng ⠝⠽⠄ su/ ning1 ny'
ㄋㄨ nū ⠝⠌⠄ sj nu1 n/'
ㄋㄨㄛ nuō ⠝⠒⠄ sji nuo1 n3'
ㄋㄨㄟ nuī ⠝⠫⠄ sjo nui1 n$'
ㄋㄨㄢ nuān ⠝⠻⠄ sj0 nuan1 n]'
ㄋㄨㄣ nūn ⠝⠿⠄ sjp nun1 n='
ㄋㄨㄥ nōng ⠝⠯⠄ sj/ nong1 n&'
ㄋㄩ nǖ ⠝⠳⠄ sm nv1 n\'
ㄋㄩㄝ nüē ⠝⠦⠄ sm, nve1 n8'
ㄌㄚ lā ⠉⠜⠄ x8 la1 c>'
ㄌㄛ lō ⠉⠣⠄ xi lo1 c<'
ㄌㄜ lē ⠉⠮⠄ xk le1 c!'
ㄌㄞ lāi ⠉⠺⠄ x9 lai1 cw'
ㄌㄟ lēi ⠉⠴⠄ xo lei1 c0'
ㄌㄠ lāo ⠉⠩⠄ xl lao1 c%'
ㄌㄡ lōu ⠉⠷⠄ x. lou1 c('
ㄌㄢ lān ⠉⠧⠄ x0 lan1 cv'
ㄌㄤ lāng ⠉⠭⠄ x; lang1 cx'
ㄌㄥ lēng ⠉⠵⠄ x/ leng1 cz'
ㄌㄧ lī ⠉⠡⠄ xu li1 c*'
ㄌㄧㄚ liā ⠉⠾⠄ xu8 lia1 c)'
ㄌㄧㄝ liē ⠉⠬⠄ xu, lie1 c+'
ㄌㄧㄠ liāo ⠉⠪⠄ xul liao1 c['
ㄌㄧㄡ liū ⠉⠎⠄ xu. liu1 cs'
ㄌㄧㄢ liān ⠉⠞⠄ xu0 lian1 ct'
ㄌㄧㄣ līn ⠉⠹⠄ xup lin1 c?'
ㄌㄧㄤ liāng ⠉⠨⠄ xu; liang1 c.'
ㄌㄧㄥ līng ⠉⠽⠄ xu/ ling1 cy'
ㄌㄨ lū ⠉⠌⠄ xj lu1 c/'
ㄌㄨㄛ luō ⠉⠒⠄ xji luo1 c3'
ㄌㄨㄢ luān ⠉⠻⠄ xj0 luan1 c]'
ㄌㄨㄣ lūn ⠉⠿⠄ xjp lun1 c='
ㄌㄨㄥ lōng ⠉⠯⠄ xj/ long1 c&'
ㄌㄩ lǖ ⠉⠳⠄ xm lv1 c\'
ㄌㄩㄝ lüē ⠉⠦⠄ xm, lve1 c8'
ㄌㄩㄢ lüān ⠉⠘⠄ xm0 lvan1 c^'
ㄌㄩㄣ lǖn ⠉⠲⠄ xmp lvn1 c4'
ㄍㄚ gā ⠅⠜⠄ e8 ga1 k>'
ㄍㄜ gē ⠅⠮⠄ ek ge1 k!'
ㄍㄞ gāi ⠅⠺⠄ e9 gai1 kw'
ㄍㄟ gēi ⠅⠴⠄ eo gei1 k0'
ㄍㄠ gāo ⠅⠩⠄ el gao1 k%'
ㄍㄡ gōu ⠅⠷⠄ e. gou1 k('
ㄍㄢ gān ⠅⠧⠄ e0 gan1 kv'
ㄍㄣ gēn ⠅⠥⠄ ep gen1 ku'
ㄍㄤ gāng ⠅⠭⠄ e; gang1 kx'
ㄍㄥ gēng ⠅⠵⠄ e/ geng1 kz'
ㄍㄨ gū ⠅⠌⠄ ej gu1 k/'
ㄍㄨㄚ guā ⠅⠔⠄ ej8 gua1 k9'
ㄍㄨㄛ guō ⠅⠒⠄ eji guo1 k3'
ㄍㄨㄞ guāi ⠅⠶⠄ ej9 guai1 k7'
ㄍㄨㄟ guī ⠅⠫⠄ ejo gui1 k$'
ㄍㄨㄢ guān ⠅⠻⠄ ej0 guan1 k]'
ㄍㄨㄣ gūn ⠅⠿⠄ ejp gun1 k='
ㄍㄨㄤ guāng ⠅⠸⠄ ej; guang1 k_'
ㄍㄨㄥ gōng ⠅⠯⠄ ej/ gong1 k&'
ㄎㄚ kā ⠇⠜⠄ d8 ka1 l>'
ㄎㄜ kē ⠇⠮⠄ dk ke1 l!'
ㄎㄞ kāi ⠇⠺⠄ d9 kai1 lw'
ㄎㄠ kāo ⠇⠩⠄ dl kao1 l%'
ㄎㄡ kōu ⠇⠷⠄ d. kou1 l('
ㄎㄢ kān ⠇⠧⠄ d0 kan1 lv'
ㄎㄣ kēn ⠇⠥⠄ dp ken1 lu'
ㄎㄤ kāng ⠇⠭⠄ d; kang1 lx'
ㄎㄥ kēng ⠇⠵⠄ d/ keng1 lz'
ㄎㄨ kū ⠇⠌⠄ dj ku1 l/'
ㄎㄨㄚ kuā ⠇⠔⠄ dj8 kua1 l9'
ㄎㄨㄛ kuō ⠇⠒⠄ dji kuo1 l3'
